Character;Frequency
" ";25,670091
e;5,297915
t;3,964911
a;3,269269
(;3,13612
);3,136028
s;3,063842
r;3,047822
n;2,880567
i;2,828519
o;2,451742
+;2,365081
l;2,175804
\r;1,902662
\n;1,902662
u;1,631532
c;1,620548
.;1,562064
d;1,385243
m;1,20159
p;1,201238
,;1,129098
0;1,100623
f;1,058781
b;1,01801
x;0,875726
h;0,814442
y;0,803593
g;0,797759
";";0,706696
1;0,672836
/;0,633068
v;0,545942
=;0,545208
2;0,543747
A;0,540428
T;0,539251
_;0,53777
"""";0,51426
[;0,505454
];0,505366
S;0,489274
C;0,45882
3;0,421074
w;0,418509
E;0,396616
I;0,375216
k;0,33512
6;0,331322
{;0,301108
};0,30101
D;0,284725
4;0,284454
F;0,279356
>;0,278802
5;0,265809
N;0,251098
<;0,248669
j;0,246452
R;0,244241
7;0,237447
M;0,211245
q;0,20968
8;0,208698
P;0,208634
9;0,198606
L;0,187865
O;0,179892
V;0,1772
	;0,166674
B;0,160921
-;0,154039
z;0,138772
:;0,137755
G;0,126172
W;0,114843
H;0,107036
U;0,100174
\;0,083844
?;0,081678
X;0,07719
&;0,054959
!;0,052714
*;0,049304
|;0,046801
';0,044158
K;0,040887
Q;0,031941
J;0,025636
Z;0,022336
Y;0,020212
^;0,012324
#;0,01153
@;0,006915
$;0,006588
%;0,004342
`;0,00161
~;0,00114
﻿;0,000709
月;8,3E-05
்;5,3E-05
ο;3,2E-05
ப;3,1E-05
р;3E-05
্;2,8E-05
е;2,8E-05
а;2,5E-05
ı;2,4E-05
ا;2,4E-05
র;2,4E-05
н;2,4E-05
υ;2,3E-05
ி;2,3E-05
İ;2,1E-05
ر;2,1E-05
ர;2E-05
ρ;1,9E-05
т;1,8E-05
ে;1,8E-05
á;1,7E-05
र;1,7E-05
ব;1,7E-05
ل;1,6E-05
α;1,6E-05
в;1,6E-05
್;1,6E-05
া;1,5E-05
ம;1,5E-05
с;1,4E-05
ä;1,4E-05
ম;1,4E-05
க;1,4E-05
ε;1,4E-05
י;1,4E-05
्;1,4E-05
о;1,4E-05
и;1,3E-05
п;1,3E-05
월;1,3E-05
്;1,3E-05
د;1,3E-05
ರ;1,2E-05
μ;1,2E-05
ش;1,2E-05
ب;1,2E-05
ו;1,2E-05
ஜ;1,2E-05
