Character;Frequency
" ";15,049146
e;8,172924
o;6,19449
t;6,036952
a;5,06771
n;4,357227
i;4,010277
s;3,858985
h;3,820004
r;3,763148
\r;3,230447
\n;3,230447
l;2,949291
.;2,654674
u;2,517811
d;2,271004
y;1,995663
m;1,793867
g;1,550507
w;1,43798
c;1,419458
f;1,123119
,;1,079938
';1,049249
I;0,953197
p;0,948998
k;0,923477
b;0,910555
v;0,655888
-;0,573727
?;0,562959
T;0,458831
W;0,399714
S;0,372901
H;0,370963
A;0,331229
Y;0,326275
!;0,316476
O;0,251221
M;0,241637
N;0,239268
E;0,206641
C;0,192965
L;0,182951
D;0,180151
B;0,17046
G;0,165291
R;0,147739
P;0,114035
j;0,110051
F;0,102944
x;0,087868
"""";0,082592
U;0,073439
J;0,067409
K;0,058363
0;0,053195
[;0,050503
];0,050287
z;0,047272
:;0,037796
q;0,036612
V;0,034889
1;0,030259
);0,024121
(;0,023152
2;0,021429
5;0,015183
#;0,014106
♪;0,012814
3;0,011199
4;0,010445
8;0,008507
9;0,007861
7;0,007322
´;0,007107
Z;0,006999
Q;0,006784
6;0,006569
*;0,00603
$;0,004307
X;0,003769
~;0,003553
};0,003338
¶;0,003123
{;0,002907
`;0,002692
%;0,002477
ÿ;0,002154
é;0,002046
/;0,001938
";";0,0014
É;0,001292
¡;0,001292
\;0,001077
ä;0,000969
—;0,000969
;0,000861
_;0,000861
–;0,000754
Ó;0,000646
£;0,000646
â;0,000646
™;0,000646
ª;0,000646
à;0,000538
è;0,000538
|;0,000538
¤;0,000538
@;0,000538
í;0,000431
¨;0,000431
ã;0,000323
ó;0,000323
ü;0,000323
ñ;0,000323
♫;0,000323
Ã;0,000323
­;0,000323
á;0,000215
À;0,000215
ο;0,000215
©;0,000215
Ö;0,000215
─;0,000215
§;0,000215
æ;0,000108
Ì;0,000108
î;0,000108
Ë;0,000108
ç;0,000108
å;0,000108
º;0,000108
þ;0,000108
υ;0,000108
·;0,000108
²;0,000108
Α;0,000108
ô;0,000108
¬;0,000108
ö;0,000108
+;0,000108
ê;0,000108
ř;0,000108
š;0,000108
;0,000108
¹;0,000108
³;0,000108
Η;0,000108
¯;0,000108
ï;0,000108
