Character;Frequency
" ";15,421
a;10,44
e;8,617
i;7,474
s;7,258
t;5,47
l;4,656
u;4,552
n;3,833
k;3,655
d;3,223
m;3,005
o;2,187
r;2,06
,;1,773
g;1,746
p;1,336
v;1,334
ä;1,264
j;1,263
h;1,187
õ;1,152
\r;0,997
.;0,95
\n;0,923
ü;0,783
b;0,597
„;0,393
“;0,375
ö;0,232
K;0,226
M;0,226
A;0,222
S;0,161
?;0,157
T;0,149
w;0,146
I;0,141
J;0,137
:;0,107
N;0,103
V;0,101
E;0,095
P;0,092
!;0,083
O;0,08
L;0,059
H;0,039
-;0,034
R;0,034
—;0,024
U;0,024
…;0,023
";";0,019
»;0,017
«;0,016
–;0,012
Õ;0,01
W;0,008
Ü;0,008
(;0,007
);0,007
c;0,006
/;0,006
D;0,006
·;0,006
X;0,006
Ä;0,005
š;0,005
f;0,004
B;0,004
G;0,004
*;0,003
’;0,003
6;0,002
F;0,002
Ö;0,002
%;0,002
↑;0,002
2;0,002
”;0,002
0;0,002
­;0,001
‘;0,001
9;0,001
с;0,001
3;0,001
1;0,001
C;0,001
	;0,001
z;0,001
ž;0,001
y;0,001
];0,001
7;0,001
