Character;Frequency
" ";15,092357
a;10,357417
e;8,496506
i;7,473549
s;7,10017
t;5,323908
l;4,677059
u;4,592328
n;3,883909
k;3,642116
d;3,148972
m;2,945452
o;2,120312
r;2,115153
,;1,794729
g;1,723257
p;1,375108
v;1,35917
j;1,26485
ä;1,22365
h;1,207877
õ;1,153385
.;0,984848
\r;0,942888
\n;0,942888
ü;0,7951
b;0,581743
„;0,393615
“;0,393037
K;0,227542
M;0,222533
ö;0,210034
A;0,209852
S;0,176571
T;0,158435
?;0,158253
w;0,151656
I;0,150697
J;0,148978
N;0,111531
V;0,101214
:;0,099726
E;0,092683
!;0,084582
P;0,082383
O;0,080565
L;0,045003
H;0,035116
-;0,034769
—;0,03419
R;0,029991
U;0,024667
…;0,024617
«;0,017822
»;0,017822
";";0,015326
Ü;0,01445
D;0,010895
X;0,010581
c;0,00992
–;0,009539
Õ;0,008531
š;0,007522
Ä;0,007291
W;0,00653
);0,0062
(;0,006183
f;0,005836
·;0,004067
G;0,003389
/;0,003224
’;0,003125
B;0,00286
y;0,001984
2;0,001819
*;0,001719
1;0,001604
Ö;0,001306
3;0,001223
C;0,001223
z;0,001223
[;0,001124
];0,001124
	;0,000992
0;0,000942
↑;0,000909
‘;0,000876
9;0,000827
';0,000827
ž;0,000761
F;0,000711
4;0,000678
‚;0,000529
x;0,000479
%;0,000446
✻;0,000364
­;0,000347
 ;0,000347
7;0,000314
5;0,000281
8;0,000231
”;0,000231
6;0,000215
_;0,000215
н;0,000182
о;0,000165
Š;0,000165
"""";0,000116
с;9,9E-05
ъ;9,9E-05
к;9,9E-05
е;9,9E-05
Z;6,6E-05
ч;6,6E-05
и;6,6E-05
р;6,6E-05
у;5E-05
ѣ;5E-05
а;5E-05
м;5E-05
ы;5E-05
ь;5E-05
й;3,3E-05
л;3,3E-05
в;3,3E-05
д;3,3E-05
п;3,3E-05
q;3,3E-05
é;1,7E-05
|;1,7E-05
С;1,7E-05
я;1,7E-05
Р;1,7E-05
і;1,7E-05
з;1,7E-05
У;1,7E-05
ж;1,7E-05
б;1,7E-05
Д;1,7E-05
т;1,7E-05
Н;1,7E-05
{;1,7E-05
ç;1,7E-05
Q;1,7E-05
&;1,7E-05
