Character;100 symbols;1000 symbols;10000 symbols;100000 symbols;All symbols
" ";20;19,1;17,17;17,408;17,45248
a;11;7,1;6,24;5,992;6,066062
o;11;5,1;6,1;5,534;5,585587
d;8;3,4;3,38;3,376;3,337725
e;7;8,9;9,02;9,088;9,032873
n;6;5,3;5,34;5,374;5,284811
i;5;3,6;4,66;4,738;4,739349
h;4;3,8;4,43;4,379;4,400644
r;4;3,4;4,21;4,18;4,150886
m;3;1;1,57;1,723;1,730362
f;2;2,3;1,61;1,593;1,595942
u;2;2,1;2,25;2,137;2,138357
p;2;1;1,09;1,208;1,215916
t;2;5,4;6,63;6,9;6,811788
T;1;0,3;0,21;0,295;0,279825
,;1;1,5;1,25;1,196;1,197607
"""";1;0,3;0,42;0,327;0,316056
b;1;0,9;1,2;0,997;1,050242
l;1;3,6;2,8;3,064;2,955639
\n;1;1,2;1,95;1,865;1,887557
\r;1;1,8;1,89;1,929;1,887557
g;1;1,6;1,37;1,494;1,496928
E;1;0,1;0,15;0,119;0,117142
k;1;0,3;0,49;0,572;0,584753
y;1;1,5;1,43;1,444;1,458524
s;1;5,9;4,53;4,43;4,51924
0;1;0;0,04;0,028;0,034345
A;1;0;0,14;0,206;0,1791
c;0;1,7;1,66;1,67;1,695243
w;0;1,5;1,81;1,676;1,706689
v;0;1,1;0,59;0,672;0,662517
.;0;0,8;0,87;0,913;0,858421
I;0;0,6;0,37;0,464;0,450164
H;0;0,5;0,12;0,144;0,15178
-;0;0,4;0,5;0,542;0,544819
j;0;0,3;0,09;0,079;0,074766
S;0;0,3;0,14;0,171;0,161553
N;0;0,3;0,12;0,09;0,094699
Y;0;0,2;0,04;0,056;0,052511
!;0;0,2;0,08;0,079;0,07042
';0;0,2;0,32;0,307;0,296654
W;0;0,2;0,11;0,12;0,121076
C;0;0,2;0,1;0,088;0,101836
M;0;0,2;0,1;0,131;0,112084
L;0;0,1;0,1;0,074;0,071144
6;0;0,1;0,01;0,011;0,007337
[;0;0,1;0;0,004;0,005283
:;0;0,1;0,04;0,033;0,048352
D;0;0,1;0,06;0,068;0,064356
";";0;0,1;0,18;0,175;0,17797
P;0;0,1;0,04;0,063;0,064294
G;0;0,1;0,02;0,045;0,054453
z;0;0,1;0,06;0,041;0,04408
R;0;0;0,1;0,083;0,076958
J;0;0;0,1;0,041;0,039809
B;0;0;0,1;0,102;0,095735
x;0;0;0,09;0,093;0,102992
?;0;0;0,08;0,052;0,065431
q;0;0;0,06;0,072;0,059623
O;0;0;0,06;0,077;0,085494
(;0;0;0,05;0,018;0,016698
3;0;0;0,04;0,011;0,009073
F;0;0;0,04;0,054;0,051262
U;0;0;0,04;0,019;0,02456
1;0;0;0,04;0,023;0,026521
2;0;0;0,03;0,009;0,013301
8;0;0;0,02;0,008;0,012783
5;0;0;0,02;0,01;0,009261
4;0;0;0,02;0,008;0,007187
$;0;0;0,02;0,003;0,004153
V;0;0;0,01;0,018;0,019677
_;0;0;0,01;0,009;0,005476
K;0;0;0;0,019;0,019327
);0;0;0;0,015;0,016692
X;0;0;0;0,011;0,008786
7;0;0;0;0,007;0,006794
];0;0;0;0,005;0,005283
9;0;0;0;0,004;0,007187
Q;0;0;0;0,003;0,003872
Z;0;0;0;0,001;0,001998
/;0;0;0;0,001;0,000443
&;0;0;0;0;0,001243
*;0;0;0;0;0,000974
{;0;0;0;0;0,000412
};0;0;0;0;0,000412
|;0;0;0;0;0,000293
^;0;0;0;0;0,000175
`;0;0;0;0;0,000125
=;0;0;0;0;0,0001
+;0;0;0;0;3,1E-05
@;0;0;0;0;2,5E-05
%;0;0;0;0;1,2E-05
#;0;0;0;0;6E-06
\;0;0;0;0;6E-06
‡;0;0;0;0;6E-06
