Character;Frequency
" ";17,45248
e;9,032873
t;6,811788
a;6,066062
o;5,585587
n;5,284811
i;4,739349
s;4,51924
h;4,400644
r;4,150886
d;3,337725
l;2,955639
u;2,138357
\r;1,887557
\n;1,887557
m;1,730362
w;1,706689
c;1,695243
f;1,595942
g;1,496928
y;1,458524
p;1,215916
,;1,197607
b;1,050242
.;0,858421
v;0,662517
k;0,584753
-;0,544819
I;0,450164
"""";0,316056
';0,296654
T;0,279825
A;0,1791
";";0,17797
S;0,161553
H;0,15178
W;0,121076
E;0,117142
M;0,112084
x;0,102992
C;0,101836
B;0,095735
N;0,094699
O;0,085494
R;0,076958
j;0,074766
L;0,071144
!;0,07042
?;0,065431
D;0,064356
P;0,064294
q;0,059623
G;0,054453
Y;0,052511
F;0,051262
:;0,048352
z;0,04408
J;0,039809
0;0,034345
1;0,026521
U;0,02456
V;0,019677
K;0,019327
(;0,016698
);0,016692
2;0,013301
8;0,012783
5;0,009261
3;0,009073
X;0,008786
6;0,007337
4;0,007187
9;0,007187
7;0,006794
_;0,005476
[;0,005283
];0,005283
$;0,004153
Q;0,003872
Z;0,001998
&;0,001243
*;0,000974
/;0,000443
{;0,000412
};0,000412
|;0,000293
^;0,000175
`;0,000125
=;0,0001
+;3,1E-05
@;2,5E-05
%;1,2E-05
#;6E-06
\;6E-06
‡;6E-06
