Character;Frequency
" ";11,966361
a;9,956843
i;8,051927
e;7,86995
s;6,904736
t;5,467385
l;4,887317
u;4,313772
n;4,12691
o;3,619096
k;3,333445
r;3,080406
d;2,871836
m;2,637597
v;1,642702
g;1,443982
j;1,298901
.;1,296415
p;1,187032
h;1,128563
ä;0,860128
,;0,787786
õ;0,773985
\r;0,672496
\n;0,672496
b;0,668276
1;0,569946
ü;0,518977
0;0,381172
2;0,32405
9;0,321794
S;0,305636
"""";0,285812
K;0,268796
T;0,25619
A;0,245283
P;0,214763
-;0,199102
);0,197505
(;0,196464
M;0,192442
f;0,186786
ö;0,185577
E;0,181981
L;0,178124
V;0,175796
c;0,162863
8;0,157339
3;0,144506
R;0,142981
5;0,142104
4;0,137019
7;0,131024
:;0,12983
6;0,127335
I;0,126426
N;0,116924
H;0,113053
B;0,10269
–;0,0977
J;0,088158
C;0,078149
y;0,077328
G;0,065967
D;0,063934
O;0,063254
F;0,056759
z;0,050334
U;0,047265
w;0,042206
Ü;0,038836
';0,035902
W;0,034045
š;0,030188
";";0,022836
x;0,017525
/;0,016788
ž;0,015827
%;0,015463
 ;0,015265
о;0,012988
а;0,01249
и;0,01173
Z;0,011143
е;0,010404
X;0,010367
é;0,010065
н;0,009383
Y;0,008382
р;0,008248
Õ;0,007414
с;0,007147
в;0,006811
Š;0,006463
ā;0,006442
á;0,006325
к;0,006182
л;0,005994
q;0,00576
т;0,005605
>;0,005401
<;0,005306
ó;0,004575
_;0,004521
²;0,004083
“;0,004045
í;0,003486
д;0,003416
„;0,0034
Q;0,003389
й;0,003165
ī;0,00314
”;0,003111
č;0,003049
ł;0,003043
м;0,002983
’;0,002965
у;0,002867
=;0,002833
+;0,002762
°;0,002684
?;0,002662
ē;0,002643
ė;0,002616
!;0,002548
ū;0,002533
я;0,002461
ч;0,002282
г;0,002226
ь;0,002005
п;0,001938
ō;0,001822
ы;0,001762
ņ;0,001748
Ä;0,001696
ø;0,001646
Ö;0,001629
С;0,001586
−;0,00155
&;0,001547
|;0,001535
б;0,001522
ļ;0,001487
[;0,001485
Ž;0,001477
з;0,001432
è;0,001386
ß;0,001367
ć;0,001266
å;0,001263
х;0,001222
];0,001219
α;0,001214
×;0,001082
ц;0,001057
В;0,001047
і;0,001039
А;0,001031
ń;0,000986
К;0,000986
§;0,000966
ç;0,000944
П;0,000918
ο;0,000904
М;0,000894
ë;0,000838
•;0,000817
ú;0,000784
ν;0,000784
Р;0,000776
É;0,000762
ا;0,000733
ς;0,000708
‘;0,000707
ķ;0,0007
Н;0,000695
ă;0,000683
ш;0,000677
ã;0,00067
Б;0,000667
