Character;100 symbols;1000 symbols;10000 symbols;100000 symbols;All symbols
" ";13;15,5;15,81;15,749;15,752339
e;10;9,4;9,62;9,211;9,184863
r;9;4,9;4,78;4,993;5,079291
o;6;5,7;5,54;5,628;5,592223
l;5;2,5;3,55;3,161;3,161158
s;5;5,4;4,67;4,765;4,809886
a;5;8,3;6,33;6,629;6,594881
g;4;0,9;1,48;1,464;1,434987
n;4;5,1;5,66;5,767;5,744528
b;4;0,3;0,95;0,984;1,036761
t;4;4,8;6,4;6,4;6,360186
w;3;0,7;1,19;1,158;1,181152
v;3;0,5;0,67;0,79;0,753601
,;3;0,8;1,01;0,957;0,97383
i;3;6;5,8;5,71;5,713439
\r;2;0,6;0,39;0,411;0,413848
m;2;1,9;1,91;1,706;1,788039
p;2;1,8;1,46;1,413;1,420396
h;2;2,7;3,32;3,514;3,503919
f;2;2;1,61;1,594;1,605326
d;2;3,7;2,79;2,955;2,961875
y;1;1;1,1;1,211;1,165651
k;1;0,5;0,39;0,497;0,460166
D;1;0,6;0,14;0,151;0,161001
c;1;2,4;2,09;2,318;2,355981
9;1;0,2;0,26;0,231;0,247365
G;1;0;0,2;0,106;0,128869
C;1;0,2;0,29;0,346;0,32305
.;1;1,6;0,87;0,896;0,90751
u;0;2,7;1,92;1,983;1,994604
A;0;0,6;0,45;0,341;0,330122
T;0;0,6;0,22;0,351;0,360529
P;0;0,4;0,26;0,166;0,193197
0;0;0,4;0,37;0,349;0,337439
S;0;0,4;0,37;0,39;0,36049
M;0;0,4;0,25;0,245;0,240254
';0;0,3;0,17;0,135;0,144694
W;0;0,3;0,22;0,131;0,131417
2;0;0,3;0,37;0,273;0,254561
1;0;0,3;0,49;0,404;0,408352
F;0;0,2;0,12;0,156;0,147876
N;0;0,2;0,16;0,13;0,134078
B;0;0,2;0,24;0,224;0,219362
L;0;0,2;0,14;0,13;0,146832
U;0;0,2;0,05;0,077;0,072961
7;0;0,2;0,12;0,097;0,09812
I;0;0,2;0,15;0,253;0,231106
"""";0;0,2;0,48;0,416;0,400819
H;0;0,2;0,16;0,203;0,193121
\n;0;0,2;0,43;0,442;0,413848
3;0;0,2;0,11;0,097;0,103924
6;0;0,2;0,06;0,088;0,096725
V;0;0,2;0,07;0,051;0,059568
8;0;0,1;0,13;0,129;0,123201
x;0;0,1;0,12;0,146;0,141954
E;0;0,1;0,1;0,14;0,122643
j;0;0,1;0,08;0,094;0,079084
J;0;0,1;0,06;0,124;0,103707
(;0;0,1;0,16;0,137;0,132642
[;0;0,1;0;0,001;0,001405
R;0;0,1;0,18;0,157;0,159971
-;0;0;0,21;0,172;0,188246
z;0;0;0,18;0,099;0,092121
O;0;0;0,15;0,093;0,104068
5;0;0;0,14;0,081;0,106087
);0;0;0,12;0,142;0,132801
4;0;0;0,11;0,108;0,097097
q;0;0;0,11;0,072;0,065696
K;0;0;0,11;0,079;0,0802
–;0;0;0,05;0,04;0,036623
:;0;0;0,04;0,074;0,066414
";";0;0;0,03;0,025;0,027451
Y;0;0;0,03;0,031;0,028884
%;0;0;0,02;0,013;0,011778
&;0;0;0,02;0,008;0,007369
“;0;0;0,01;0,002;0,002416
ü;0;0;0,01;0,004;0,002662
í;0;0;0,01;0,004;0,003029
 ;0;0;0,01;0,014;0,01468
и;0;0;0,01;0;0,000312
*;0;0;0,01;0,001;0,000803
ă;0;0;0,01;0,001;0,000589
X;0;0;0,01;0,011;0,008493
/;0;0;0,01;0,02;0,01724
’;0;0;0,01;0,004;0,004712
Q;0;0;0,01;0,011;0,011254
о;0;0;0,01;0;0,000355
ó;0;0;0,01;0,008;0,002901
å;0;0;0,01;0,001;0,000398
ே;0;0;0,01;0;7E-06
?;0;0;0,01;0;0,001738
ö;0;0;0,01;0;0,002534
н;0;0;0,01;0;0,000268
‘;0;0;0,01;0;0,000688
ō;0;0;0,01;0;0,001354
Z;0;0;0;0,014;0,014557
é;0;0;0;0,01;0,010059
$;0;0;0;0,007;0,006761
£;0;0;0;0,006;0,001735
_;0;0;0;0,006;0,005493
!;0;0;0;0,004;0,005781
=;0;0;0;0,004;0,004961
ø;0;0;0;0,003;0,000728
á;0;0;0;0,003;0,004612
>;0;0;0;0,003;0,001866
”;0;0;0;0,003;0,002419
è;0;0;0;0,002;0,001322
—;0;0;0;0,002;0,00556
