Character;100 symbols;1000 symbols;10000 symbols;100000 symbols;All symbols
" ";21;15,6;15,38;15,421;15,092357
s;11;7,3;7,29;7,258;7,10017
a;9;10,4;10,31;10,44;10,357417
l;9;4,6;4,51;4,656;4,677059
e;7;7,7;8,8;8,617;8,496506
d;5;3,4;3,25;3,223;3,148972
m;4;3,1;3;3,005;2,945452
k;4;3,7;3,43;3,655;3,642116
t;4;4,8;4,93;5,47;5,323908
v;4;1,3;1,24;1,334;1,35917
,;3;1,9;1,8;1,773;1,794729
o;3;1,7;1,85;2,187;2,120312
i;3;7,6;7,45;7,474;7,473549
p;2;1,6;1,47;1,336;1,375108
u;2;3,8;4,62;4,552;4,592328
n;2;4,9;4,13;3,833;3,883909
ä;2;0,9;1,2;1,264;1,22365
P;1;0,2;0,07;0,092;0,082383
õ;1;1,3;1,41;1,152;1,153385
h;1;1,7;1,21;1,187;1,207877
G;1;0;0;0,004;0,003389
r;1;1,6;2,07;2,06;2,115153
j;1;1,5;1,23;1,263;1,26485
g;0;1,8;1,65;1,746;1,723257
\r;0;1,2;0,94;0,997;0,942888
\n;0;1,1;0,98;0,923;0,942888
.;0;0,9;1,03;0,95;0,984848
ü;0;0,9;0,78;0,783;0,7951
b;0;0,7;0,54;0,597;0,581743
“;0;0,6;0,4;0,375;0,393037
„;0;0,5;0,44;0,393;0,393615
:;0;0,3;0,07;0,107;0,099726
S;0;0,2;0,21;0,161;0,176571
I;0;0,2;0,12;0,141;0,150697
U;0;0,2;0,05;0,024;0,024667
O;0;0,1;0,09;0,08;0,080565
H;0;0,1;0,04;0,039;0,035116
E;0;0,1;0,1;0,095;0,092683
V;0;0,1;0,07;0,101;0,101214
L;0;0,1;0,07;0,059;0,045003
J;0;0,1;0,18;0,137;0,148978
A;0;0,1;0,18;0,222;0,209852
K;0;0,1;0,14;0,226;0,227542
ö;0;0,1;0,25;0,232;0,210034
M;0;0;0,21;0,226;0,222533
w;0;0;0,18;0,146;0,151656
?;0;0;0,16;0,157;0,158253
!;0;0;0,11;0,083;0,084582
N;0;0;0,09;0,103;0,111531
T;0;0;0,08;0,149;0,158435
Ü;0;0;0,05;0,008;0,01445
…;0;0;0,03;0,023;0,024617
«;0;0;0,03;0,016;0,017822
—;0;0;0,02;0,024;0,03419
R;0;0;0,02;0,034;0,029991
»;0;0;0,02;0,017;0,017822
·;0;0;0,02;0,006;0,004067
–;0;0;0,02;0,012;0,009539
-;0;0;0,02;0,034;0,034769
X;0;0;0,02;0,006;0,010581
Õ;0;0;0,01;0,01;0,008531
W;0;0;0,01;0,008;0,00653
с;0;0;0,01;0,001;9,9E-05
(;0;0;0,01;0,007;0,006183
D;0;0;0,01;0,006;0,010895
”;0;0;0,01;0,002;0,000231
Z;0;0;0,01;0;6,6E-05
’;0;0;0,01;0,003;0,003125
];0;0;0,01;0,001;0,001124
";";0;0;0;0,019;0,015326
);0;0;0;0,007;0,0062
c;0;0;0;0,006;0,00992
/;0;0;0;0,006;0,003224
Ä;0;0;0;0,005;0,007291
š;0;0;0;0,005;0,007522
f;0;0;0;0,004;0,005836
B;0;0;0;0,004;0,00286
*;0;0;0;0,003;0,001719
6;0;0;0;0,002;0,000215
F;0;0;0;0,002;0,000711
Ö;0;0;0;0,002;0,001306
%;0;0;0;0,002;0,000446
↑;0;0;0;0,002;0,000909
2;0;0;0;0,002;0,001819
0;0;0;0;0,002;0,000942
­;0;0;0;0,001;0,000347
‘;0;0;0;0,001;0,000876
9;0;0;0;0,001;0,000827
3;0;0;0;0,001;0,001223
1;0;0;0;0,001;0,001604
C;0;0;0;0,001;0,001223
	;0;0;0;0,001;0,000992
z;0;0;0;0,001;0,001223
ž;0;0;0;0,001;0,000761
y;0;0;0;0,001;0,001984
7;0;0;0;0,001;0,000314
[;0;0;0;0;0,001124
';0;0;0;0;0,000827
4;0;0;0;0;0,000678
‚;0;0;0;0;0,000529
x;0;0;0;0;0,000479
✻;0;0;0;0;0,000364
 ;0;0;0;0;0,000347
5;0;0;0;0;0,000281
8;0;0;0;0;0,000231
_;0;0;0;0;0,000215
н;0;0;0;0;0,000182
о;0;0;0;0;0,000165
Š;0;0;0;0;0,000165
"""";0;0;0;0;0,000116
ъ;0;0;0;0;9,9E-05
к;0;0;0;0;9,9E-05
е;0;0;0;0;9,9E-05
ч;0;0;0;0;6,6E-05
и;0;0;0;0;6,6E-05
р;0;0;0;0;6,6E-05
у;0;0;0;0;5E-05
ѣ;0;0;0;0;5E-05
а;0;0;0;0;5E-05
м;0;0;0;0;5E-05
ы;0;0;0;0;5E-05
ь;0;0;0;0;5E-05
й;0;0;0;0;3,3E-05
л;0;0;0;0;3,3E-05
в;0;0;0;0;3,3E-05
д;0;0;0;0;3,3E-05
п;0;0;0;0;3,3E-05
q;0;0;0;0;3,3E-05
é;0;0;0;0;1,7E-05
|;0;0;0;0;1,7E-05
С;0;0;0;0;1,7E-05
я;0;0;0;0;1,7E-05
Р;0;0;0;0;1,7E-05
і;0;0;0;0;1,7E-05
з;0;0;0;0;1,7E-05
У;0;0;0;0;1,7E-05
ж;0;0;0;0;1,7E-05
б;0;0;0;0;1,7E-05
Д;0;0;0;0;1,7E-05
т;0;0;0;0;1,7E-05
Н;0;0;0;0;1,7E-05
{;0;0;0;0;1,7E-05
ç;0;0;0;0;1,7E-05
Q;0;0;0;0;1,7E-05
&;0;0;0;0;1,7E-05
